State,ROI
MO,3.166681689636381
DE,3.952655263921933
CA,6.230620593652223
TN,-1.0280364096001045
CA,-1.816794753701683
KY,1.2253835249938037
UT,-4.196886696178919
MI,3.4899854109146804
TX,-2.439674765091067
IA,1.1027439569183612
AL,2.4940899710712157
TX,2.2519220931634236
IL,4.672769870573794
MS,1.5826783159690567
WI,5.8732107734674255
WI,4.543410926057752
NC,2.2470567625905504
NC,2.5793087930575087
IA,3.8719478391850464
ID,-4.4144224842050885
PA,0.1689309455211028
CO,-6.357311430979
VA,1.0164995701646564
WI,9.090740556933277
HI,3.3644698911092417
WI,8.512676765018888
MS,-1.5013813033256171
IN,2.5011989010730087
TX,3.612826914234663
MI,3.659494439546116
PA,1.3439129301912962
FL,-4.999518306449056
CA,0.042459954706586304
AL,1.3212360615718544
PA,2.7395699979987898
NJ,10.324030525844229
ID,-4.125730918061519
CO,2.1896009917096717
KY,1.8990846294263206
MI,1.8873103737551078
MI,3.0187737492613618
NM,0.46248299197338744
NH,9.063330402915563
LA,-7.65208415408377
MI,5.728523560734087
ME,6.301361891788241
FL,-4.59207305562896
CA,1.8834178702635842
MO,3.964359145851874
AL,3.1635363682489928
AL,0.27901117714495866
KY,-2.623302963484108
GA,5.242087047193101
IA,1.7504968651322512
TX,-0.9871868918974307
TX,-5.86568167219788
GA,4.461167521586126
UT,-5.0828987315754395
AZ,2.4274426424520867
NC,4.228549336385296
PA,12.470296779303064
GA,6.730011772779935
PA,4.045726238676106
TN,8.692790064995135
VA,2.3743388619192256
OH,-2.1132593878019583
WV,1.386015412593205
WI,5.129624498141594
CA,-1.6913932919100059
SD,-0.6827159103304609
SC,-0.1204501170078026
CA,-10.89680980618118
OH,8.813355345860659
VA,2.9770824848098014
MI,5.941922415405075
TX,-3.6215594125001553
KS,1.8169453041114971
IL,-1.3792726730460538
PA,-16.23450306914027
AR,-2.0655451701174727
ND,0.6580871109238823
LA,-11.127739563137213
MA,6.371162954667059
WA,0.8430895775919502
NY,5.216149107730089
FL,-8.734942972631194
OR,-0.10821792725162409
NY,7.440624909107818
OK,-0.4163734526617051
TN,6.326120965905198
AZ,-2.1554760252279306
IA,2.0245666872172765
OH,7.864714413805516
VA,1.440320348186586
ME,9.490185222732169
PA,-1.5951792876005524
NC,6.484637600181629
NM,4.596839163621446
MO,2.9900467582079546
TX,-0.6977856053959745
WA,-2.2122966660907886
KY,2.5370576568262493
MI,6.221730427298639
NC,0.4323688217789219
KS,5.228908785985207
NC,2.732965376664815
NY,5.852301180764899
WI,11.956383230526193
OH,2.3812535414786344
MT,1.9074952629485082
MT,3.0297006882125848
AL,-3.38283607980753
WV,12.229482495766234
PA,0.9911634650473079
GA,2.144224682860305
ID,-4.346215784653541
MD,0.6431560861621237
TN,0.1607751916079438
IN,7.454023443802088
IN,5.145433098431177
OR,-1.7402925780758212
ME,9.767479467220179
WA,0.07864791935305006
NY,3.631164174401489
IL,5.703493054071735
VA,5.1007071265407475
AZ,-1.3726107400654597
KY,3.842795208671359
TN,3.248791107535031
WI,3.296322033778392
NY,7.812159118966995
MN,-0.6675929969830209
IL,9.531214528759723
GA,5.435032399085493
MI,9.103441233664128
WI,8.651233941355763
PA,3.560435258514753
AL,1.9688889314970055
MT,-1.259267664830635
VA,7.533552119197975
MN,-0.049579407259032406
OH,3.9122736307027237
OH,2.9784497506401677
CA,-5.571211857995095
FL,0.744640924953787
WY,-1.7907952842588406
AR,1.4383465139064564
MI,1.0920156703783415
NC,0.11926166629462047
IA,1.6541864403227937
MS,-7.333019266918954
NC,1.0605817159655913
KY,1.9064267101532042
TX,-2.857526910323551
GA,2.0103297055611495
TN,-6.461426575366905
WA,-0.7212188097288209
OH,4.9299144932041745
