RegionID,SizeRank,City,State,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024
394662,290,Hanford,CA,324380.5215,323320.8654,323322.9604,324020.4679,325285.6572,326991.2629,329136.4414,331767.5126,333828.129,335179.6152,335884.243,336683.7487,338046.5825,339802.1163,341898.7596,343661.4911,345120.7328,345739.4298,345896.7497,345815.3156,346318.3996,347206.8721
394723,291,Jefferson,MO,228398.7637,228278.9045,228914.9547,230042.8053,231612.5714,233236.1031,234415.2569,235254.2978,235931.6065,236406.6858,236955.6816,237377.7714,238055.3757,239400.4335,241434.2692,243794.1477,245576.2533,246564.2264,247194.8312,247711.6597,248426.6782,249223.8129
394598,292,Florence,AL,188463.8399,188367.6999,188848.1249,190325.2922,192154.1954,193922.6042,194864.7024,195147.6384,195141.4211,195429.0272,196347.151,197244.2747,197639.7611,197888.377,198966.5245,200964.1898,202934.3286,204126.4709,204619.2363,204728.6173,204387.7627,204138.4226
394537,293,Dothan,AL,173249.1183,173271.8071,173382.977,173878.6506,174822.4172,175620.1403,175770.8137,175171.9109,174842.6174,175174.077,176139.9878,176866.4021,176944.9885,176891.9654,177697.1386,179000.9328,180455.3178,181244.6946,181590.0354,181711.6481,181840.7746,182660.8745
394802,294,London,KY,148409.7988,147952.4133,148366.6539,150090.4001,152212.2458,153512.9202,153997.072,153320.7419,152479.4203,151495.0208,151097.8244,150980.7024,150319.9719,149659.7269,149731.278,151506.2574,153588.788,154928.405,155024.5968,154482.6774,153173.3334,152164.8407
394306,295,Albany,GA,142464.1218,142120.5311,142614.2771,143464.9843,144636.4795,145643.6806,146483.3654,147345.3962,148297.0826,149063.0171,149555.5362,149740.5353,150042.3123,150650.6969,152031.7001,153789.3411,155505.6412,156876.7926,157559.8407,158015.5817,157662.8279,157274.0859
395102,297,Sioux,IA,195183.845,194784.3984,195069.8602,196649.8941,198787.3022,200719.1283,201859.8853,202515.5451,202557.2928,202479.0813,202416.303,202619.7711,202931.4227,203623.1491,204909.4521,206507.2168,207784.596,208406.4651,208444.9498,208457.1092,208409.6315,208659.3073
395223,298,Wichita,TX,159052.2911,157841.8856,157142.9247,157426.8584,158676.4018,160023.1385,161117.8756,161575.5889,161920.6735,162203.1152,162398.8642,162242.4414,162185.013,162607.1126,163498.7487,164400.1342,165021.2526,165236.8931,164957.4222,164846.8612,164997.7257,165678.8878
395152,299,Texarkana,TX,169843.6023,168134.8728,167462.9205,167822.0584,168789.1349,169892.2452,170446.5752,170815.9517,170893.3946,171067.857,171091.041,171072.2439,170881.8376,171154.5983,171839.6711,172644.3161,172696.432,172283.1706,171391.1831,170492.9866,169387.6201,168633.9862
395182,300,Valdosta,GA,185554.5343,185820.6255,187138.3369,189072.6316,191050.1109,192424.4164,193212.415,193358.3186,193308.6765,193389.7473,193910.2902,194507.1669,195132.7559,195935.3385,197298.8536,198819.6016,200324.4659,201409.3691,202141.3125,202743.1535,203064.8866,203394.9628
394800,301,Logan,UT,442744.4319,441241.8845,441063.974,442053.042,443953.2805,445496.9529,445771.474,445599.607,444871.1719,445444.85,445448.533,444613.2735,442334.6166,441569.1697,442639.5087,444204.5067,444420.3959,443384.2588,441911.1818,441326.2486,441810.1199,443056.9601
394595,302,Flagstaff,AZ,596115.7123,592340.1847,590425.9231,592185.1908,597323.4121,604726.4315,611518.1954,616774.2225,620460.4218,622720.6863,624209.6366,623993.9611,622077.1475,622622.1286,626902.1902,634183.5459,639339.5369,640444.3782,640147.574,639537.8204,640263.3303,641306.8285
395036,303,Rocky,NC,177656.6725,176710.0551,177233.2319,178988.1109,180875.5942,182220.1955,183181.3797,184256.5541,185667.0525,186918.6196,188195.5164,188757.3738,189178.4633,189566.8667,190820.6363,192688.7183,194720.6437,196179.7562,196954.8743,196740.4245,195637.2782,194324.4871
395000,304,Pottsville,PA,121124.1931,121388.1379,122014.2728,122631.6692,123579.6117,124758.2454,126248.79,127950.3733,129667.7752,131298.7606,132496.238,133100.6064,133299.8146,133429.1728,134375.3617,136139.949,138310.2043,139835.0952,140468.8546,140815.7451,141422.9424,142470.8597
394515,305,Dalton,GA,212421.4825,211888.9922,212233.9478,213753.3974,215816.8874,217858.8639,219727.6233,221457.3837,222931.1119,224470.666,225805.4267,227039.3435,227625.8161,228327.2341,229777.9792,231703.3096,233684.7904,234992.6263,236142.5159,236998.5131,237442.2123,237664.588
394783,306,Lebanon,PA,260427.5025,260686.0124,261363.2251,262334.7982,264132.4,266258.8133,268581.4694,270468.3522,272047.4392,273234.5678,274076.1922,274296.933,274303.0165,274920.5194,276631.858,279115.8577,281383.9002,282531.6565,282844.0011,282870.3499,283250.2215,284384.7853
394880,307,Morristown,TN,243007.8073,243808.4792,245095.0902,247293.589,249625.5605,252259.9818,254845.472,257560.8732,260104.806,262181.1954,263822.7621,264747.0842,264803.0273,264979.1844,265999.3497,268394.7899,271361.0805,273865.2512,275658.6797,276235.4241,276239.374,276655.343
395232,308,Winchester,VA,341442.3937,341299.1617,341994.1219,343161.6458,345251.2313,347511.554,349511.1588,351275.1511,352803.3571,354233.7779,355304.9947,356040.9739,356302.773,357055.6366,358381.9406,360455.984,362162.1986,363135.6383,363778.7082,364443.6254,365637.9842,367145.5845
395221,309,Wheeling,OH,134607.8827,133321.6354,132492.9692,132637.5806,133529.7395,134536.0082,135524.2588,136093.6575,136171.3523,135872.0641,135619.6714,135519.749,135629.2841,135950.5014,136465.1092,137230.7763,138163.3715,139177.627,139719.251,139504.8421,138821.3898,138700.2695
394879,310,Morgantown,WV,215767.4278,215135.5805,214410.5771,214857.646,217071.7662,219768.7075,221908.3103,222858.4739,222950.8895,222750.4869,222771.1842,222992.5775,223216.8157,223773.8211,225150.3519,226965.5149,228525.083,229533.3935,230270.6256,230318.52,230103.8691,229877.5452
394756,311,La,WI,267863.2761,269353.782,271830.7518,274520.2332,277324.2252,279012.4364,279602.0127,280293.0502,281040.6464,281352.9959,281250.7553,280983.692,281265.7238,282460.0964,284717.2607,287383.0755,289218.0628,290562.9268,291700.9066,293176.4894,294441.5788,295407.957
